target sensor1 sensor2 sensor3 sensor4 sensor5 sensor6 sensor7 sensor8 sensor9 sensor10 sensor11 sensor12 sensor13 sensor14 sensor15 sensor16
电池完好 1816 3320 4980 1992 1523 2656 3457 2070 2402 2089 1777 1914 2636 2812 2265 2792
电池完好 1796 3320 4980 1992 1523 2636 3457 2050 2402 2089 1777 1894 2617 2792 2246 2792
电池完好 1796 3320 4980 1992 1523 2656 3457 2070 2402 2070 1757 1894 2617 2792 2226 2792
电池完好 1796 3339 4980 1992 1523 2656 3457 2070 2402 2070 1757 1894 2617 2812 2226 2792
电池完好 1796 3339 4980 1992 1503 2656 3457 2070 2402 2070 1757 1894 2617 2812 2226 2792
电池完好 1796 3339 4980 1992 1523 2656 3457 2070 2402 2050 1757 1894 2617 2792 2226 2792
电池完好 1796 3320 4980 1992 1503 2656 3457 2070 2382 2050 1757 1894 2617 2792 2226 2792
电池完好 1796 3339 4980 1992 1523 2656 3457 2070 2382 2031 1757 1894 2636 2812 2226 2792
电池完好 1796 3339 4980 1992 1523 2656 3457 2070 2382 2050 1757 1894 2636 2812 2226 2792
电池完好1796 3339 4980 1972 1484 2636 3457 2050 2382 2050 1757 1894 2617 2792 2226 2792
电池完好 1757 3300 4980 1933 1464 2617 3417 2031 2343 2011 1718 1855 2597 2773 2187 2753
电池完好 1757 3300 4980 1933 1464 2597 3417 2031 2343 2031 1718 1855 2597 2773 2187 2753
电池完好 2500 2500 2500 1933 1464 2597 3398 2011 2343 2031 1699 1855 2597 2773 2167 2734
电池完好 1757 3281 4980 1933 1464 2597 3398 2011 2343 2011 1699 1835 2597 2753 2167 2734
电池完好 1757 3300 4980 1933 1464 2617 3417 2031 2343 2031 1718 1855 2597 2773 2187 2753
电池完好 1757 3320 4980 1953 1464 2617 3437 2050 2363 2031 1718 1855 2617 2792 2187 2773
电池完好 1777 3320 4980 1953 1464 2617 3437 2031 2363 2031 1718 1855 2617 2792 2207 2773
电池完好 1777 3320 4980 1953 1464 2636 3437 2050 2363 2031 1718 1855 2617 2792 2207 2773
电池完好 1777 3320 4980 1953 1464 2617 3437 2031 2363 2050 1718 1855 2617 2792 2187 2773
电池完好 1757 3320 4980 1953 1464 2617 3437 2050 2363 2050 1718 1855 2636 2812 2207 2773
电池完好 1777 3320 4980 1953 1484 2636 3437 2050 2363 2050 1718 1855 2636 2812 2207 2773
电池完好 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2773
电池完好 1777 3320 4980 1972 1484 2636 3437 2050 2363 2050 1718 1875 2636 2812 2207 2773
电池完好 1777 3320 4980 1953 1484 2636 3437 2050 2363 2050 1718 1855 2636 2792 2207 2773
电池完好 1777 3320 4980 1953 1484 2617 3437 2050 2363 2050 1718 1855 2617 2792 2207 2773
电池完好 1777 3320 4980 1953 1484 2617 3437 2050 2363 2050 1718 1855 2617 2792 2187 2773
电池完好 1777 3320 4980 1953 1484 2636 3417 2050 2363 2050 1718 1855 2617 2792 2187 2773
电池完好 1777 3320 4980 1953 1484 2617 3417 2050 2363 2050 1718 1855 2617 2792 2187 2773
电池完好 1757 3320 4980 1953 1484 2636 3437 2050 2363 2050 1718 1855 2617 2792 2187 2773
电池完好 1835 3417 4980 2070 1582 2753 3535 2304 2421 2128 1757 1914 2675 2929 2363 2890
电池完好 1835 3417 4980 2070 1562 2753 3535 2285 2402 2109 1738 1914 2656 2910 2343 2871
电池完好 1835 3417 4980 2050 1562 2753 3535 2285 2402 2109 1718 1894 2656 2910 2324 2871
电池完好 1835 3417 4980 2050 1562 2734 3535 2285 2402 2109 1718 1894 2656 2910 2324 2871
电池完好 1835 3417 4980 2050 1562 2753 3535 2304 2402 2109 1718 1894 2656 2910 2324 2871
电池完好 1816 3417 4980 2050 1562 2753 3535 2304 2402 2089 1718 1894 2656 2910 2324 2871
电池完好 1816 3417 4980 2031 1562 2734 3535 2304 2402 2089 1718 1894 2675 2910 2324 2871
电池完好 2500 2500 2500 2500 2500 2500 2500 2500 2402 2089 1718 1894 2656 2890 2304 2871
电池完好 1796 3417 4980 2031 1523 2734 3515 2285 2382 2070 1699 1875 2656 2890 2304 2851
电池完好 1796 3398 4980 2031 1542 2734 3515 2285 2363 2070 1699 1875 2656 2890 2304 2851
电池完好 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500
电池完好 1796 3398 4980 2031 1523 2734 3515 2285 2363 2070 1699 1875 2636 2890 2285 2851
电池完好 1796 3398 4980 2031 1523 2714 3515 2285 2363 2070 1679 1855 2617 2851 2265 2851
电池完好 1777 3398 4980 2031 1523 2734 3515 2265 2363 2050 1679 1855 2597 2851 2246 2832
电池完好 1777 3398 4980 2011 1523 2714 3515 2265 2363 2050 1679 1855 2597 2851 2246 2832
电池完好 2500 2500 2500 2011 1523 2714 3515 2265 2363 2050 1679 1855 2597 2851 2246 2832
电池完好 1777 3398 4980 2011 1523 2714 3515 2265 2363 2050 1679 1855 2597 2851 2246 2832
电池完好 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500
电池完好 2500 2500 2500 2500 2500 2500 3515 2265 2363 2050 1679 1855 2597 2851 2226 2832
电池完好 1796 3417 4980 2031 1562 2734 3515 2265 2382 2070 1679 1875 2597 2832 2226 2832
电池完好 1796 3398 4980 2031 1542 2734 3515 2265 2382 2070 1679 1855 2597 2832 2226 2832
电池完好 2500 2500 2500 2500 2500 2500 2500 2265 2382 2070 1679 1855 2578 2832 2226 2832
电池完好 1796 3398 4980 2031 1562 2734 3515 2265 2363 2070 1679 1855 2578 2832 2226 2832
电池完好 2500 2500 2500 2500 1523 2734 3515 2265 2363 2050 1660 1855 2578 2832 2207 2832
电池完好 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 1679 1855 2578 2832 2207 2832
电池完好 2500 2500 2500 2500 2500 2500 3515 2265 2363 2050 1679 1855 2500 2500 2500 2500
电池完好 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500 2500
电池完好 2500 2500 4980 2031 1562 2714 3515 2265 2363 2050 1660 1855 2578 2812 2207 2832
电池完好 1777 3398 4980 2031 1523 2734 3515 2265 2363 2050 1660 1855 2578 2832 2207 2832
轻微漏液 1699 3359 4980 1894 1503 2539 3339 2011 2343 1972 1699 1816 2773 2792 2167 2773
轻微漏液 1699 3339 4980 1894 1503 2539 3339 1992 2343 1972 1679 1816 2753 2773 2148 2753
轻微漏液 1699 3359 4980 1894 1503 2539 3339 1992 2343 1972 1679 1816 2753 2773 2148 2753
轻微漏液 1699 3359 4980 1894 1503 2539 3339 1992 2343 1972 1679 1816 2753 2773 2148 2753
轻微漏液 1699 3339 4980 1875 1503 2539 3320 1992 2343 1972 1679 1816 2753 2753 2148 2753
轻微漏液 1699 3339 4980 1894 1503 2539 3339 1992 2343 1972 1679 1816 2753 2753 2148 2753
轻微漏液 1699 3339 4980 1875 1484 2539 3320 1992 2343 1972 1679 1816 2753 2753 2128 2753
轻微漏液 1699 3339 4980 1875 1503 2519 3339 1992 2343 1953 1679 1796 2734 2753 2128 2753
轻微漏液 1699 3339 4980 1875 1503 2539 3320 1992 2343 1953 1679 1796 2734 2734 2109 2753
轻微漏液 1699 3339 4980 1875 1484 2519 3339 1972 2324 1953 1679 1796 2734 2734 2109 2734
轻微漏液 1699 3339 4980 1875 1503 2519 3320 1972 2324 1953 1679 1796 2734 2734 2109 2734
轻微漏液 1699 3339 4980 1875 1484 2519 3320 1972 2324 1953 1679 1796 2734 2734 2109 2734
轻微漏液 1699 3339 4980 1875 1503 2519 3339 1972 2343 1953 1660 1796 2734 2734 2089 2734
轻微漏液 1679 3339 4980 1875 1484 2539 3339 1972 2324 1953 1660 1796 2714 2714 2089 2734
轻微漏液 1679 3339 4980 1875 1484 2519 3320 1972 2343 1953 1660 1796 2714 2714 2089 2734
轻微漏液 1679 3339 4980 1875 1484 2539 3339 1972 2343 1953 1660 1796 2714 2714 2089 2734
轻微漏液 1699 3339 4980 1875 1484 2539 3339 1972 2324 1953 1660 1796 2714 2714 2070 2734
轻微漏液 1679 3339 4980 1875 1484 2539 3339 1972 2324 1953 1660 1796 2714 2714 2070 2734
轻微漏液 1679 3339 4980 1875 1484 2519 3320 1972 2324 1953 1660 1796 2714 2714 2070 2734
轻微漏液 1679 3339 4980 1875 1484 2539 3339 1972 2324 1953 1660 1796 2695 2714 2070 2734
轻微漏液 1699 3359 4980 1894 1503 2539 3339 1972 2343 1972 1679 1796 2714 2714 2070 2734
