MQ3 MQ135 TGS2600 TGS2602 TGS2603 TGS2609 TGS2610 SYG9 MQ137 MQ138 TGS2611 TGS2612 TGS2618 TGS2619 TGS2620 SY1B
580 52 354 374 241 339 125 265 258 301 199 84 143 205 227 108
580 52 354 374 241 339 124 261 258 301 199 84 143 205 226 106
562 52 354 374 241 339 124 261 256 301 199 84 143 205 226 106
562 58 354 374 241 339 124 261 256 305 199 84 143 205 226 106
562 58 352 361 241 339 124 261 256 305 197 76 143 205 226 106
562 58 352 361 242 339 124 261 256 305 197 76 145 205 226 106
562 58 352 361 242 339 124 261 256 305 197 76 145 204 226 106
562 58 352 361 242 339 128 259 256 305 197 76 145 204 229 106
549 58 352 361 242 339 128 259 261 305 197 76 145 204 229 106
549 54 352 361 242 339 128 259 261 300 197 76 145 204 229 106
549 54 349 359 242 339 128 259 261 300 194 76 145 204 229 106
549 54 349 359 234 339 128 259 261 300 194 76 138 204 229 106
549 54 349 359 234 331 128 259 261 300 194 76 138 197 229 106
549 54 349 359 234 331 120 254 261 300 194 76 138 197 221 101
533 54 349 359 234 331 120 254 252 300 194 76 138 197 221 101
533 57 349 359 234 331 120 254 252 302 194 76 138 197 221 101
533 57 353 364 234 331 120 254 252 302 199 82 138 197 221 101
533 57 353 364 236 331 120 254 252 302 199 82 141 197 221 101
533 57 353 364 236 336 120 254 252 302 199 82 141 202 221 101
533 57 353 364 236 336 126 255 252 302 199 82 141 202 226 103
540 57 353 364 236 336 126 255 259 302 199 82 141 202 226 103
540 51 353 364 236 336 126 255 259 296 199 82 141 202 226 103
540 51 351 363 236 336 126 255 259 296 197 82 141 202 226 103
540 51 351 363 235 336 126 255 259 296 197 82 139 202 226 103
540 51 351 363 235 330 126 255 259 296 197 82 139 196 226 103
540 51 351 363 235 330 125 259 259 296 197 82 139 196 225 107
532 51 351 363 235 330 125 259 251 296 197 82 139 196 225 107
532 52 351 363 235 330 125 259 251 298 197 82 139 196 225 107
532 52 350 361 235 330 125 259 251 298 196 80 139 196 225 107
532 52 350 361 243 330 125 259 251 298 196 80 148 196 225 107
532 52 350 361 243 336 125 259 251 298 196 80 148 203 225 107
532 52 350 361 243 336 123 258 251 298 196 80 148 203 223 106
