MQ3_1 MQ3_2 MQ3_3 MQ3_4 MQ3_5 TGS2603_1 TGS2603_2 TGS2603_3 TGS2603_4 TGS2603_5 TGS2609_1 TGS2609_2 TGS2609_3 TGS2609_4 TGS2609_5 base
1796 3339 2402 2070 1757 4980 1992 1523 2656 3457 1894 2617 2812 2226 2070 2792
1796 3339 2402 2070 1757 4980 1992 1523 2656 3457 1894 2617 2812 2226 2070 2792
1796 3339 2402 2070 1757 4980 1992 1523 2656 3457 1894 2617 2812 2226 2070 2792
1796 3339 2402 2070 1757 4980 1992 1523 2656 3457 1894 2617 2812 2226 2070 2792
1796 3339 2402 2070 1757 4980 1992 1523 2656 3457 1894 2617 2812 2226 2070 2792
1796 3339 2402 2070 1757 4980 1992 1523 2656 3457 1894 2617 2812 2226 2070 2792
1796 3339 2402 2070 1757 4980 1992 1523 2656 3457 1894 2617 2812 2226 2070 2792
1796 3339 2402 2070 1757 4980 1992 1523 2656 3457 1894 2617 2812 2226 2070 2792
1796 3339 2402 2070 1757 4980 1992 1523 2656 3457 1894 2617 2812 2226 2070 2792
1796 3339 2402 2070 1757 4980 1992 1523 2656 3457 1894 2617 2812 2226 2070 2792
1796 3339 2402 2070 1757 4980 1992 1523 2656 3457 1894 2617 2812 2226 2070 2792
1796 3339 2402 2070 1757 4980 1992 1523 2656 3457 1894 2617 2812 2226 2070 2792
1796 3339 2402 2070 1757 4980 1992 1523 2656 3457 1894 2617 2812 2226 2070 2792
1796 3339 2402 2070 1757 4980 1992 1523 2656 3457 1894 2617 2812 2226 2070 2792
1796 3339 2402 2070 1757 4980 1992 1523 2656 3457 1894 2617 2812 2226 2070 2792
1796 3339 2402 2070 1757 4980 1992 1523 2656 3457 1894 2617 2812 2226 2070 2792
1796 3339 2402 2070 1757 4980 1992 1523 2656 3457 1894 2617 2812 2226 2070 2792
1796 3339 2402 2070 1757 4980 1992 1523 2656 3457 1894 2617 2812 2226 2070 2792
1796 3339 2402 2070 1757 4980 1992 1523 2656 3457 1894 2617 2812 2226 2070 2792
1796 3339 2402 2070 1757 4980 1992 1523 2656 3457 1894 2617 2812 2226 2070 2792
1796 3339 2402 2070 1757 4980 1992 1523 2656 3457 1894 2617 2812 2226 2070 2792
1796 3339 2402 2070 1757 4980 1992 1523 2656 3457 1894 2617 2812 2226 2070 2792
1796 3339 2402 2070 1757 4980 1992 1523 2656 3457 1894 2617 2812 2226 2070 2792
1796 3339 2402 2070 1757 4980 1992 1523 2656 3457 1894 2617 2812 2226 2070 2792
1796 3339 2402 2070 1757 4980 1992 1523 2656 3457 1894 2617 2812 2226 2070 2792
1796 3339 2402 2070 1757 4980 1992 1523 2656 3457 1894 2617 2812 2226 2070 2792
1796 3339 2402 2070 1757 4980 1992 1523 2656 3457 1894 2617 2812 2226 2070 2792
